공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240229,24년 승조원 운용 편의성 및 전투력 향상을 위한 거주 및 근무설비 개선방안 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,N
20240229,24년 해양환경 위협을 고려한 함정장비 구축방안 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240229,24년 함내 유·무선 통합통신 네트워크 최적화 설계방안 연구용역,2024,해군본부,일반용역,,True,2.0,False,유찰,등록공고,,Y
20240229,24년 상선 인력운용 개념 및 최신기술 분석을 통한 함 유형별 병력 절감형 설계 구체화 방안,2024,해군본부,일반용역,,True,2.0,False,유찰,등록공고,,Y
20240229,24년 함정 갑판 설치장비 내충격 성능검증을 위한 한국형 검증기반 구축 개념 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240229,24년 무인체계의 효율적 운용을 위한 통제콘솔 및 운용자 인터페이스 개념 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240304,24-N-소자장치 모의장비형 CBT 개발,2024,국방부 국군재정관리단,일반용역,,False,4.0,False,개찰완료,등록공고,,Y
20240306,(24F005-G) 메타버스 기반 육군 모집홍보센터 플랫폼 유지관리/고도화사업,2024,국방부 국군재정관리단,일반용역,,False,4.0,False,낙찰자선정,등록공고,,Y
20240326,24-1차 개념설계 기술지원 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,변경공고,,Y
20240307,24-N-차세대 첨단함정 건조가능성 검토 연구용역,2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,N
20240327,24-2차 개념설계 기술지원 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,변경공고,,Y
20240327,24-3차 개념설계 기술지원 연구용역,2024,해군본부,일반용역,,False,2.0,False,낙찰자선정,변경공고,,Y
20240327,24-4차 개념설계 기술지원 연구용역,2024,해군본부,일반용역,,False,2.0,False,낙찰자선정,변경공고,,Y
20240308,24-N-연안 해저작전환경조사 용역,2024,국방부 국군재정관리단,일반용역,,False,9.0,False,개찰완료,등록공고,,Y
20240311,24-F-우주기상 영향연구 용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240312,24-F-Space Challenge 2024 행사 용역,2024,국방부 국군재정관리단,일반용역,,False,3.0,False,개찰완료,등록공고,,Y
20240312,24-F-공군수치예보 고도화와 운용성 향상연구,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240312,(24F063-I) 홍보전략컨설팅 및 종합홍보 용역,2024,국방부 육군본부,일반용역,,False,2.0,False,개찰완료,등록공고,,Y
20240313,24년 학군사관후보생 정신전력 교육용역,2024,육군학생군사학교,일반용역,,False,1.0,False,낙찰자선정,변경공고,,N
20240315,K-RMF 보안통제항목 고도화 연구용역,2024,국군제1068부대,일반용역,,False,3.0,False,낙찰자선정,등록공고,,N
20240315,24-N-00부대 브리핑/화상회의체계 교체(리스물건),2024,국방부 국군재정관리단,일반용역,,False,2.0,False,개찰완료,등록공고,,N
20240319,(24G056-I) 24년 00지역 지형정보 제작사업,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240319,24-F-전투부대 순회 집중정신전력교육 용역,2024,국방부 국군재정관리단,일반용역,,False,3.0,False,개찰완료,등록공고,,Y
20240319,24-N-함정 군 요구사항 최적화 기술 연구 용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240319,24-F-중장기 예측모델 개선 방안 연구용역,2024,국방부 국군재정관리단,일반용역,,True,0.0,True,유찰,등록공고,,Y
20240327,24년 해군 장병 정신전력 교육용 영상교재 제작용역,2024,해군본부,일반용역,,False,7.0,False,낙찰자선정,변경공고,,Y
20240327,24년 해군 미디어전 수행역량 강화를 위한 발전방안 연구용역,2024,해군본부,일반용역,,False,2.0,False,낙찰자선정,변경공고,,Y
20240327,24년 유·무인 복합 대함작전 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,변경공고,,Y
20240327,24년 해외 협력항만 구축 추진방안 연구용역,2024,해군본부,일반용역,,True,0.0,True,유찰,변경공고,,Y
20240327,24년 무인전력 생존성 개념 정립을 위한 군요구조건 최적화 연구용역,2024,해군본부,일반용역,,True,2.0,False,유찰,변경공고,,Y
